"Study_ID","AUC","Permutation","DEBIAS"
10959,0.622268400878591,0,1
10959,0.535048882380809,1,1
10959,0.528280718377191,1,1
10959,0.520661957879323,1,1
11210,0.583813548469714,0,1
11210,0.511233477042159,1,1
11210,0.503806149599465,1,1
11210,0.510016932029994,1,1
11993,0.670433347682594,0,1
11993,0.496962739752236,1,1
11993,0.515772229396853,1,1
11993,0.541266083130052,1,1
13652,0.629256965944272,0,1
13652,0.557120743034056,1,1
13652,0.520201238390093,1,1
13652,0.520665634674923,1,1
11635,0.636796733212341,0,1
11635,0.541572141560799,1,1
11635,0.539133393829401,1,1
11635,0.489904718693285,1,1
13187,0.65257405809606,0,1
13187,0.523943054357204,1,1
13187,0.523619499568594,1,1
13187,0.491048317515099,1,1
13631,0.719203873050027,0,1
13631,0.532544378698225,1,1
13631,0.564795344515624,1,1
13631,0.525429116338207,1,1
11129,0.513165859564165,0,1
11129,0.539194915254237,1,1
11129,0.520278450363196,1,1
11129,0.505145278450363,1,1
13010,0.606875203649397,0,1
13010,0.521505376344086,1,1
13010,0.519224503095471,1,1
13010,0.482730531117628,1,1
11710,0.74179020454119,0,1
11710,0.526834302871083,1,1
11710,0.519140551698255,1,1
11710,0.534340401576281,1,1
13338,0.685557149689144,0,1
13338,0.552128168340507,1,1
13338,0.527259684361549,1,1
13338,0.5662362505978,1,1
13695,0.729861111111111,0,1
13695,0.556944444444444,1,1
13695,0.568055555555556,1,1
13695,0.579861111111111,1,1
15006,0.428070175438596,0,1
15006,0.715789473684211,1,1
15006,0.712280701754386,1,1
15006,0.518421052631579,1,1
14130,0.947916666666667,0,1
14130,0.5625,1,1
14130,0.477083333333333,1,1
14130,0.452083333333333,1,1
14669,0.554511278195489,0,1
14669,0.582706766917293,1,1
14669,0.62406015037594,1,1
14669,0.417293233082707,1,1
