,13631,13652,13695
X.Bacteroides..pectinophilus.group,0.0,-1.1131299,-1.5300744
X.Clostridium..innocuum.group,-0.8465545,-1.0893133,1.6693891
X.Eubacterium..brachy.group,-1.4772685,0.63123274,1.6856352
X.Eubacterium..eligens.group,0.7861199,-0.3473473,0.1807162
X.Eubacterium..fissicatena.group,-1.3714557,-0.49997398,2.3853447
X.Eubacterium..hallii.group,0.3590923,0.08690139,1.0940236
X.Eubacterium..nodatum.group,-0.6298137,0.14696638,3.9955938
X.Eubacterium..oxidoreducens.group,0.0,0.9634997,-0.46854857
X.Eubacterium..ruminantium.group,0.95663965,1.3456525,0.84147143
X.Eubacterium..siraeum.group,2.2485754,2.233492,2.6810513
X.Eubacterium..ventriosum.group,-1.1218938,-1.5027556,1.471139
X.Eubacterium..xylanophilum.group,-3.9602106,0.46497476,0.0
X.Ruminococcus..gauvreauii.group,-4.30269,0.0,0.0
X.Ruminococcus..gnavus.group,-1.3743515,-1.3547854,1.6032487
X.Ruminococcus..torques.group,-0.38120663,-1.0543808,0.9858248
A2,1.3926443,-0.7572842,0.0
Abiotrophia,-2.591147,0.8855171,2.1000118
Acetanaerobacterium,-0.06481192,1.7937106,1.3490853
Acetatifactor,1.2149711,0.0,0.0
Achromobacter,2.874468,0.0,0.0
Acidaminococcus,1.6753844,2.3556259,2.63367
Acidovorax,-1.1538423,0.0,0.0
Acinetobacter,-1.0715508,1.5811886,-1.0143815
Actinobacillus,7.2708893,2.6776707,2.4134946
Actinomyces,0.17427309,2.7200363,-1.7642508
Actinotalea,1.1951724,0.0,0.0
Adlercreutzia,-3.6086075,-4.451503,0.0
Aeromonas,0.6208883,0.0,0.0
Agathobacter,-1.7364998,3.4117377,0.5694303
Aggregatibacter,1.4987516,1.0099541,1.9594697
Akkermansia,-0.92862946,-1.7029322,1.0619829
Alistipes,1.115759,0.12602915,1.3179237
Alkanindiges,1.6101626,0.0,0.0
Allisonella,-0.039473806,0.7796628,3.5660057
Allobaculum,4.2522645,0.0,0.0
Alloprevotella,1.4461055,2.7582304,0.726355
Ammoniphilus,2.784102,0.0,0.0
Amnipila,3.052715,0.0,0.0
Anaerococcus,0.0,0.0,-0.24279584
Anaerofilum,0.80434734,0.6537932,2.4071925
Anaerofustis,-2.5824535,0.0,0.0
Anaeroglobus,-3.6004765,0.0,-2.099431
Anaeroplasma,0.0,-1.1229563,-2.3340151
Anaerosphaera,0.0,0.0,-2.3157697
Anaerostignum,-1.5050299,-1.3665373,1.4903346
Anaerostipes,0.13601336,0.2274938,1.6198941
Anaerotruncus,-1.3749421,-1.7796127,1.7649928
Anaerovorax,5.7316055,-0.15446064,-3.191582
Angelakisella,2.8797164,1.6043314,4.8802433
Anoxybacillus,4.790044,0.0,3.9370565
Aquamicrobium,1.4043628,0.0,0.0
Asaccharospora,0.0,0.0,-0.016603833
ASF356,6.719359,-1.9963375,-0.34333432
Asteroleplasma,0.0,2.4924734,-4.113359
Atopobium,-1.7160543,1.1721518,-0.8409181
Azospirillum,1.1195523,0.0,0.0
Bacteroides,0.6833853,-0.6305512,0.34490457
Barnesiella,1.5434682,1.4463643,1.6853744
Bauldia,2.0068858,0.0,1.1403762
Bergeyella,3.8064346,0.0,0.0
Bifidobacterium,1.0355067,-0.5335203,0.25687894
Bilophila,0.778519,-0.3867689,0.85916364
Blastocatella,0.0,0.0,-1.3368027
Blautia,0.55757457,-0.8034302,-0.038053297
Blvii28.wastewater.sludge.group,1.4043628,0.0,0.0
Bordetella,0.0,-0.74594796,0.0
Brachymonas,0.87070507,0.0,0.0
Brevundimonas,-4.3516493,0.0,0.0
Brucella,1.5519774,0.0,0.0
Butyricicoccus,0.29863772,-0.9652095,0.96535337
Butyricimonas,1.2592105,0.022651799,1.7779005
Butyrivibrio,1.7832711,0.0,0.26492018
CAG.352,0.17889796,0.7342513,1.9031116
CAG.56,-4.0330505,0.0,2.8464265
Caldicoprobacter,0.0,-0.6146424,0.0
Campylobacter,7.453375,4.7479815,3.8577237
Candidatus.Bacilloplasma,3.1845868,0.0,0.0
Candidatus.Methanogranum,0.0,-1.0336385,0.0
Candidatus.Paracaedibacter,1.4043628,0.0,0.0
Candidatus.Soleaferrea,-1.4178514,0.22825451,1.2372688
Candidatus.Stoquefichus,3.1799045,1.9450784,4.1198974
Caproiciproducens,4.9717183,-0.13559584,3.0201068
